1,1,211-2-1,N,N,2,Y,Y,,,,,,,,,
1,1,221-21,N,Y,1,Y,Y,,,,,,,,,
2,1,42-1-1-2431-3,N,N,2-3,Y,N,4,Y,N,,,,,,
2,1,43-1-1-2-431-2,N,Y,2-3,Y,N,4,Y,N,,,,,,
2,1,43-2-42-1-231-3,N,Y,4,Y,Y,-1,Y,Y,,,,,,
2,1,431-23-1-242-3,N,N,4,Y,Y,-1,Y,N,,,,,,
2,1,42-1-3-43-23-1-2,N,Y,4,Y,Y,-1,Y,N,,,,,,
2,1,3-1-32-1-2-42-3-4,N,Y,4,Y,Y,-1,Y,Y,,,,,,
2,1,42-1-231-3-42-3,N,Y,4,Y,N,-1,Y,Y,,,,,,
2,1,3-23-1-3-42-1-2-4,N,N,4,Y,N,-1,Y,Y,,,,,,
2,1,42-3431-32-1-2,N,N,4,Y,Y,-1,Y,Y,,,,,,
2,1,442-32-1-2,N,N,43-1-3,N,N,-1,Y,Y,,,,,,
2,1,3-1-3-42-1-2,N,Y,442-3,N,Y,-1,Y,Y,,,,,,
2,1,43-1-1-32-3,N,Y,2-1-2-4,N,N,4,Y,Y,,,,,,
2,1,43-1-2-42-3,N,Y,2-1-1-3,N,N,4,Y,Y,,,,,,
2,1,21-3-42-1-1-3,N,N,42-3,N,Y,4,Y,N,,,,,,
2,1,443-1-2-42-3,N,Y,2-1-3,N,Y,-1,Y,N,,,,,,
2,2,4-31-42-41-3,N,N,1-2,Y,N,2-3,Y,N,,,,,,
2,2,4-12-43-41-2,N,Y,2-3,Y,N,1-3,Y,N,,,,,,
3,1,5211-3-5-6-6,N,N,42-3-4-6,N,Y,31-2,N,N,4-5,Y,Y,,,
3,1,4211-3-5-6-6,N,Y,431-2-5,N,Y,64-5,N,Y,2-3,Y,Y,,,
3,1,642-3-4521-3-5,N,N,4-5-6-6,N,Y,31-2,N,Y,1,Y,N,,,
3,1,66531-2-4-64-5,N,Y,52-3-4,N,N,21-3,N,N,1,Y,N,,,
3,1,64-5-6-6431-2-5,N,N,42-3-5,N,N,21-3,N,N,1,Y,N,,,
3,1,652-3-5431-2-4,N,N,211-3,N,N,64-5,N,Y,6,Y,N,,,
3,1,66521-3-54-5,N,Y,42-3-4-6,N,Y,31-2,N,Y,1,Y,N,,,
3,1,6652-3-4-65-4,N,Y,421-3-5,N,Y,31-2,N,N,1,Y,N,,,
3,1,4211-23-1-3-5,N,N,652-3-4,N,Y,64-5,N,N,6,Y,N,,,
3,1,4311-32-3-5-6,N,N,421-2-5,N,Y,64-5,N,Y,6,Y,N,,,
3,1,5211-3-54-5-6,N,Y,42-3-4-6,N,N,31-2,N,N,6,Y,Y,,,
3,1,52-321-2-4-6-6,N,N,431-3-5,N,N,4-5-6,N,N,1,Y,Y,,,
3,1,66531-2-54-5,N,Y,6421-3-4,N,N,2-3,Y,N,1,Y,N,,,
3,1,5-4-6431-2-5-6,N,Y,4211-3-5,N,Y,2-3,Y,Y,6,Y,Y,,,
3,1,53-1-321-2-5-6,N,N,6642-3-4,N,Y,4-5,Y,Y,1,Y,Y,,,
3,1,6531-2-4-64-5,N,Y,5211-3-4,N,N,2-3,Y,Y,6,Y,Y,,,
3,1,65-46431-3-5,N,N,5211-2-4,N,N,2-3,Y,N,6,Y,Y,,,
3,1,6653-231-3-4,N,N,6421-2-5,N,N,4-5,Y,N,1,Y,Y,,,
3,1,64-54211-3-4,N,Y,531-2-5-6,N,N,2-3,Y,N,6,Y,Y,,,
3,1,643-1-321-2-4,N,N,6652-3-5,N,Y,4-5,Y,N,1,Y,Y,,,
3,1,5-4-6-6431-2-4,N,N,6521-3-5,N,N,2-3,Y,N,1,Y,N,,,
3,1,65-46431-3-5,N,N,4211-2-5,N,N,2-3,Y,Y,6,Y,Y,,,
3,1,531-2-5-642-321-3-4-6,N,Y,4-5,Y,N,6,Y,N,1,Y,N,,,
3,1,653-23-1-3-4-6421-2-5,N,N,4-5,Y,Y,6,Y,Y,1,Y,Y,,,
3,1,653-2-4-6431-321-2-5,N,Y,4-5,Y,N,6,Y,Y,1,Y,Y,,,
3,1,65-4-6421-3-5431-2-5,N,Y,2-3,Y,Y,6,Y,Y,1,Y,N,,,
3,1,643-2-5-653-1-321-2-4,N,N,4-5,Y,N,6,Y,Y,1,Y,Y,,,
3,1,6531-2-5421-3-4-65-4,N,Y,2-3,Y,N,6,Y,N,1,Y,N,,,
3,1,65-46431-2-4521-3-5,N,N,2-3,Y,N,6,Y,Y,1,Y,N,,,
3,1,643-1-2-4531-2-5-64-5,N,N,2-3,Y,N,6,Y,N,1,Y,N,,,
3,1,6521-3-4531-2-464-5,N,N,2-3,Y,Y,6,Y,Y,1,Y,N,,,
3,1,6531-2-543-1-2-464-5,N,Y,2-3,Y,N,6,Y,Y,1,Y,N,,,
3,1,65-453-1-2-46431-2-5,N,N,2-3,Y,Y,6,Y,Y,1,Y,N,,,
3,1,642-321-2-5-6531-3-4,N,Y,4-5,Y,Y,6,Y,Y,1,Y,Y,,,
3,1,6431-3-5-65-4521-2-4,N,N,2-3,Y,N,6,Y,Y,1,Y,Y,,,
3,1,643-1-321-2-4652-3-5,N,Y,4-5,Y,N,6,Y,N,1,Y,Y,,,
3,1,642-3-5-643-1-321-2-5,N,N,4-5,Y,N,6,Y,N,1,Y,Y,,,
3,1,521-2-4531-3-4-64-5-6,N,Y,2-3,Y,Y,6,Y,Y,1,Y,Y,,,
3,1,6431-2-5-653-1-2-45-4,N,Y,2-3,Y,Y,6,Y,Y,1,Y,N,,,
3,1,6531-2-4-6521-32-3-4,N,N,4-5,Y,N,6,Y,N,1,Y,N,,,
3,1,6521-2-464-5431-3-5,N,Y,2-3,Y,N,6,Y,Y,1,Y,Y,,,
3,1,521-23-1-3-4-642-3-5-6,N,N,4-5,Y,Y,6,Y,Y,1,Y,Y,,,
3,1,64311-32-1-2-4,N,N,652-3-5,N,Y,4-5,Y,N,6,Y,Y,,,
3,1,65311-23-1-2-5,N,Y,642-3-4,N,Y,4-5,Y,N,6,Y,Y,,,
